id,name,diamond_count,type,combo,is_displayed_on_panel,image_url,panel_order
59711,光之城堡,25999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/3c6e2297ca0ddd194653cae1d3baaffa.png~tplv-obj.webp,365
973150,魔法钓竿,30000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/cea50b414c860b2361880959c855ab23.png~tplv-obj.webp,366
115516,绣球花海,1299,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/0e821f9f9a67f7299e6939b7823d8ab6.png~tplv-obj.webp,367
1213439,松鼠,10,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/1739fceef111004d05fb5b8abea8a778.png~tplv-obj.webp,368
19065,联盟橄榄球,10,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/85e79c76fd9b5ded418565427a67f424.png~tplv-obj.webp,369
54727,萌鸡来袭,6000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/33798b669e13c98ea076ed8eaabc8810.png~tplv-obj.webp,370
15464,Arcane Card,5000,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/19d48b30090885b8d7ca794c055b2138.png~tplv-obj.webp,371
1143819,命运宝箱,899,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/0adc6a264628317c6857bd060e7a3081.png~tplv-obj.webp,372
105795,花式足球,1800,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/f2e3e6c9dba93abe56ffbd2af60309d3.png~tplv-obj.webp,373
440703,沙漠求生,399,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/8fd91255d34a7312d0842d6fbc38ee93.png~tplv-obj.webp,374
1143825,王者之证,14999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/e317449c84cba9b865aa50a745ef927e.png~tplv-obj.webp,375
946648,心跳共振,500,4,false,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/7106a1ee69968823cef12444172094eb.png~tplv-obj.webp,376
54294,幸运皇冠,14999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/b2566977022eacff45fa1c268f4bea91.png~tplv-obj.webp,377
10022,景福宫,20000,2,true,false,https://p16-webcast.tiktokcdn.com/img/maliva/webcast-va/resource/ae07f3f9fec20bc0c6801f967f162c3f.png~tplv-obj.webp,378
18790,贺岁玩偶,1999,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/5ec37123593a6fd309cee3ddc1f93de6.png~tplv-obj.webp,379
62675,心动合唱,10,1,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/df5ff4cb7fd148c81580dbe2b4a6b8b1.png~tplv-obj.webp,380
18299,Viking Hammer,1500,2,true,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/5b95101816bc9f61f65bd265641ef4d6.png~tplv-obj.webp,381
60073,铁粉印章,100,4,false,false,https://p16-webcast.tiktokcdn.com/img/alisg/webcast-sg/resource/24cd1ef8bf88891453a1909e42ae5fb2.png~tplv-obj.webp,382
